Table name;Table description;Table Abbreviation;Column name;Column datatype;Length;Precision;Domain;Primary key;Foreign key;Unique;Required;Parent table;Parent column;Column description;Column check constraint;Column default value
avis;Stocke les avis sur les notices ou les emprunteurs;;note;INT;0;0;;False;False;False;False;;;Note donné pour cet avis;;
avis;Stocke les avis sur les notices ou les emprunteurs;;sujet;TEXT;0;0;;False;False;False;False;;;Sujet de l'avis;;
avis;Stocke les avis sur les notices ou les emprunteurs;;commentaire;TEXT;0;0;;False;False;False;False;;;Commentaire de l'avis;;
avis;Stocke les avis sur les notices ou les emprunteurs;;dateajout;TIMESTAMP;0;0;;False;False;False;False;;;Date de création de l'avis;;CURRENT_TIMESTAMP
avis;Stocke les avis sur les notices ou les emprunteurs;;valide;INT;0;0;;False;False;False;True;;;Avis validé ? (0 ou 1);;0
bannette_abon;Mémorise les abonnements pour chaque utilisateur;;num_bannette;INT;0;0;;True;True;False;True;bannettes;id_bannette;Numéro de la bannette;;
bannette_abon;Mémorise les abonnements pour chaque utilisateur;;num_empr;INT;0;0;;True;True;False;True;empr;id_empr;Numéro de l'emprunteur;;
bannette_abon;Mémorise les abonnements pour chaque utilisateur;;actif;INT;0;0;;False;False;False;True;;;l'abonnement est il actif (0=non et 1=oui);;0
bannette_contenu;Une bannette contient plusieurs notices;;num_bannette;INT;0;0;;True;True;False;True;bannettes;id_bannette;numéro de bannette;;
bannette_contenu;Une bannette contient plusieurs notices;;num_notice;INT;0;0;;True;True;False;True;notices;notice_id;Numéro de notice;;
bannette_contenu;Une bannette contient plusieurs notices;;date_ajout;TIMESTAMP;0;0;;False;False;False;False;;;Date de l'ajout de la notice dans la bannette;;CURRENT_TIMESTAMP
bannette_equation;Une bannette est remplie suivant une équation;;num_bannette;INT;0;0;;True;True;False;True;bannettes;id_bannette;Identifiant de la bannette;;
bannette_equation;Une bannette est remplie suivant une équation;;num_equation;INT;0;0;;True;True;False;True;equations;id_equation;Identifiant de l'équation;;
bannette_exports;Permet d'exporter une bannette;;num_bannette;INT;0;0;;True;True;False;True;bannettes;id_bannette;Identifiant de la bannette;;
bannette_exports;Permet d'exporter une bannette;;export_format;INT;0;0;;True;False;False;True;;;Format de l'export;;0
bannette_exports;Permet d'exporter une bannette;;export_data;LONGBLOB;0;0;;False;False;False;True;;;Données de l'export;;
bannette_exports;Permet d'exporter une bannette;;export_nomfichier;VARCHAR(255);255;0;;False;False;False;False;;;Nom du fichier d'export;;
bannettes;Elément contenant un ensemble de document ;;id_bannette;INT;0;0;;True;False;False;True;;;Identifiant de la bannette;;
bannettes;Elément contenant un ensemble de document ;;num_classement;INT;0;0;;False;True;False;True;classements;id_classement;Numéro de classement;;
bannettes;Elément contenant un ensemble de document ;;nom_bannette;VARCHAR(255);255;0;;False;False;False;True;;;Nom de la bannette;;
bannettes;Elément contenant un ensemble de document ;;comment_gestion;VARCHAR(255);255;0;;False;False;False;True;;;Commentaire pour la gestion;;
bannettes;Elément contenant un ensemble de document ;;comment_public;VARCHAR(255);255;0;;False;False;False;True;;;Commentaire pour le public;;
bannettes;Elément contenant un ensemble de document ;;entete_mail;TEXT;0;0;;False;False;False;True;;;Entete de l'email envoyé à l'abonné;;
bannettes;Elément contenant un ensemble de document ;;date_last_remplissage;DATETIME;0;0;;False;False;False;True;;;Date de dernière modification du contenu;;0000-00-00 00:00:00
bannettes;Elément contenant un ensemble de document ;;date_last_envoi;DATETIME;0;0;;False;False;False;True;;;Date de dernier envoi;;0000-00-00 00:00:00
bannettes;Elément contenant un ensemble de document ;;proprio_bannette;INT;0;0;;False;False;False;True;;;Identifiant de l'utilisateur propriétaire;;
bannettes;Elément contenant un ensemble de document ;;bannette_auto;INT;0;0;;False;False;False;True;;;Bannette automatique ( 0 : non 1 : oui );;0
bannettes;Elément contenant un ensemble de document ;;periodicite;INT;0;0;;False;False;False;True;;;Type de périodicité (hebdomadaire ...);;7
bannettes;Elément contenant un ensemble de document ;;diffusion_email;INT;0;0;;False;False;False;True;;;Indique si l'on diffuse un email pour la bannette (0 = non, 1= oui);;0
bannettes;Elément contenant un ensemble de document ;;categorie_lecteurs;INT;0;0;;False;False;False;True;;;Catégorie du lecteur;;0
bannettes;Elément contenant un ensemble de document ;;nb_notices_diff;INT;0;0;;False;False;False;True;;;nombre de notices diffusées;;0
bannettes;Elément contenant un ensemble de document ;;num_panier;INT;0;0;;False;True;False;True;caddie;idcaddie;Numéro du panier;;
bannettes;Elément contenant un ensemble de document ;;limite_type;CHAR(1);1;0;;False;False;False;True;;;Type de limitations des notices dans la bannette (D : limitation en nombre de jours, i : limitation en nombre de notices, '' : non limité);;
bannettes;Elément contenant un ensemble de document ;;limite_nombre;INT;0;0;;False;False;False;True;;;La valeur limite correspondant à la limitation ( nombre de notices ou durée de validité);;0
budgets;Table des budgets;;id_budget;INT;0;0;;True;False;False;True;;;Identifiant de budget;;
budgets;Table des budgets;;num_entite;INT;0;0;;False;True;False;True;entites;id_entite;Identifiant de l'entité propriètaire du budget;;
budgets;Table des budgets;;num_exercice;INT;0;0;;False;True;False;True;exercices;id_exercice;Identifiant de l'exercice auquel est rattaché le budget;;
budgets;Table des budgets;;libelle;VARCHAR(255);255;0;;False;False;False;True;;;Libellé du budget;;
budgets;Table des budgets;;commentaires;TEXT;0;0;;False;False;False;False;;;Commentaires sur le budget;;
budgets;Table des budgets;;montant_global;FLOAT;0;0;;False;False;False;True;;;Montant global du budget;;0.00
budgets;Table des budgets;;seuil_alerte;INT;0;0;;False;False;False;True;;;niveau d'alerte en % du montant global;;100
budgets;Table des budgets;;statut;INT;0;0;;False;False;False;True;;;statut du budget ( 0=En préparation, 1= validé , 2=archive...);;0
budgets;Table des budgets;;type_budget;INT;0;0;;False;False;False;True;;;TYpe de budget;;0
bulletins;Liste des éditions des périodiques;Bulletins;bulletin_id;INT;0;0;;True;False;False;True;;;Identifiant du bulletin;;
bulletins;Liste des éditions des périodiques;Bulletins;bulletin_numero;VARCHAR(255);255;0;;False;False;False;True;;;Numéro du bulletin du périodique;;
bulletins;Liste des éditions des périodiques;Bulletins;bulletin_notice;INT;0;0;;False;True;False;True;notices;notice_id;Notice chapeau du bulletin (ou notice périodique);;
bulletins;Liste des éditions des périodiques;Bulletins;mention_date;VARCHAR(50);50;0;;False;False;False;True;;;Date de parution (description libre ex :  trimestre 1);;
bulletins;Liste des éditions des périodiques;Bulletins;date_date;DATE;0;0;;False;False;False;True;;;Date de parution exacte si existante;;0000-00-00
bulletins;Liste des éditions des périodiques;Bulletins;bulletin_titre;TEXT;0;0;;False;False;False;False;;;Titre du bulletin;;
bulletins;Liste des éditions des périodiques;Bulletins;index_titre;TEXT;0;0;;False;False;False;False;;;Index du titre du bulletin;;
bulletins;Liste des éditions des périodiques;Bulletins;bulletin_cb;VARCHAR(30);30;0;;False;False;False;False;;;Code barre du bulletin;;
caddie;Liste des paniers existants;Paniers;idcaddie;INT;0;0;;True;False;False;True;;;Identifiant du caddie;;
caddie;Liste des paniers existants;Paniers;name;VARCHAR(255);255;0;;False;False;False;False;;;Nom du caddie;;
caddie;Liste des paniers existants;Paniers;type;VARCHAR(20);20;0;;False;False;False;True;;;Type du caddie (EXPL=Exemplaires, NOTI=Notice,s BULL=Bulletins);;'NOTI'
caddie;Liste des paniers existants;Paniers;comment;VARCHAR(255);255;0;;False;False;False;False;;;Commentaire libre;;
caddie;Liste des paniers existants;Paniers;autorisations;MEDIUMTEXT;0;0;;False;False;False;False;;;Droits d'utilisation du caddie;;
caddie_content;Liste des objets contenus dans les paniers;Contenu des paniers;caddie_id;INT;0;0;;False;True;False;True;caddie;idcaddie;Panier auquel appartient l'élément;;
caddie_content;Liste des objets contenus dans les paniers;Contenu des paniers;object_id;INT;0;0;;False;False;False;True;;;Identifiant de l'objet (id issu des tables notices, exemplaires ou bulletins);;0
caddie_content;Liste des objets contenus dans les paniers;Contenu des paniers;content;BLOB;0;0;;False;False;False;False;;;Champ de stockage d'un élément non présent dans la base (ex : une notice UNIMARC non reconnue ou code barre lu à la douchette);;
caddie_content;Liste des objets contenus dans les paniers;Contenu des paniers;blob_type;VARCHAR(10);10;0;;False;False;False;False;;;Type de données contenues dans content (EXPL_CB pour l'instant);;
caddie_content;Liste des objets contenus dans les paniers;Contenu des paniers;flag;VARCHAR(10);10;0;;False;False;False;False;;;Indique si l'élément a été pointé (NULL ou non NULL);;
caddie_procs;Liste des procédures stockées utilisables pour les paniers;Procédures stockées des paniers;idproc;INT;0;0;;True;False;False;True;;;Identifiant des procédures stockées utilisables pour les paniers;;
caddie_procs;Liste des procédures stockées utilisables pour les paniers;Procédures stockées des paniers;type;VARCHAR(20);20;0;;False;False;False;True;;;Type de procédure : SELECT = sélection des objets pour les ajouter au panier, POINTA = pointage par requête des éléments du panier, ACTION = traitement par bloc des éléments du panier;;'SELECT'
caddie_procs;Liste des procédures stockées utilisables pour les paniers;Procédures stockées des paniers;name;VARCHAR(255);255;0;;False;False;False;True;;;Nom de la procédure;;
caddie_procs;Liste des procédures stockées utilisables pour les paniers;Procédures stockées des paniers;requete;BLOB;0;0;;False;False;False;True;;;Requête SQL qui sera exécutée;;
caddie_procs;Liste des procédures stockées utilisables pour les paniers;Procédures stockées des paniers;comment;TINYTEXT;0;0;;False;False;False;True;;;Commentaire libre;;
caddie_procs;Liste des procédures stockées utilisables pour les paniers;Procédures stockées des paniers;autorisations;MEDIUMTEXT;0;0;;False;False;False;False;;;Droits d'accès a la procédure;;
caddie_procs;Liste des procédures stockées utilisables pour les paniers;Procédures stockées des paniers;parameters;TEXT;0;0;;False;False;False;False;;;Description XML du type des paramètres de la procédure (si existants);;
categories;Catégories de classement pour l'OPAC;Catégories OPAC;num_noeud;INT;0;0;;True;True;False;True;noeuds;id_noeud;Identifiant du noeud;;
categories;Catégories de classement pour l'OPAC;Catégories OPAC;langue;VARCHAR(5);5;0;;True;False;False;True;;;Langue de la catégorie;;'fr_FR'
categories;Catégories de classement pour l'OPAC;Catégories OPAC;libelle_categorie;TEXT;0;0;;False;False;False;True;;;Libellé de la catégorie;;
categories;Catégories de classement pour l'OPAC;Catégories OPAC;note_application;TEXT;0;0;;False;False;False;True;;;Note d'application de la catégorie du thésaurus;;
categories;Catégories de classement pour l'OPAC;Catégories OPAC;comment_public;TEXT;0;0;;False;False;False;True;;;;;
categories;Catégories de classement pour l'OPAC;Catégories OPAC;comment_voir;TEXT;0;0;;False;False;False;True;;;;;
categories;Catégories de classement pour l'OPAC;Catégories OPAC;index_categorie;TEXT;0;0;;False;False;False;True;;;Champ d'indexation des catégories pour les recherches;;
classements;Stocke le classement des équations pour chaque bannette;;id_classement;INT;0;0;;True;False;False;True;;;Identifiant de la bannette;;
classements;Stocke le classement des équations pour chaque bannette;;type_classement;CHAR(3);3;0;;False;False;False;True;;;Type du classement;;'BAN'
classements;Stocke le classement des équations pour chaque bannette;;nom_classement;VARCHAR(255);255;0;;False;False;False;True;;;Nom du classement;;
collections;Liste des collections des éditeurs (=ISSN);Collections;collection_id;INT;0;0;;True;False;False;True;;;Identifiant de la collection;;
collections;Liste des collections des éditeurs (=ISSN);Collections;collection_name;VARCHAR(255);255;0;;False;False;False;True;;;Nom de la collection;;
collections;Liste des collections des éditeurs (=ISSN);Collections;collection_parent;INT;0;0;;False;True;False;True;publishers;ed_id;Editeur de la collection;;
collections;Liste des collections des éditeurs (=ISSN);Collections;collection_issn;VARCHAR(12);12;0;;False;False;False;True;;;Numéro ISSN de la collection;;
collections;Liste des collections des éditeurs (=ISSN);Collections;index_coll;TEXT;0;0;;False;False;False;False;;;Champ d'indexation des collections pour les recherches;;
comptes;Compte des emprunteurs;;id_compte;INT;0;0;;True;False;False;True;;;Identifiant du compte;;
comptes;Compte des emprunteurs;;libelle;VARCHAR(255);255;0;;False;False;False;True;;;Description du compte;;
comptes;Compte des emprunteurs;;type_compte_id;INT;0;0;;False;True;False;True;type_comptes;id_type_compte;Identitfiant du type de compte;;
comptes;Compte des emprunteurs;;solde;DECIMAL(16,2);16;2;;False;False;False;False;;;Solde du compte;;0.00
